"ROBERTS","ID","43.698922","-112.173195"
"HODGENVILLE","KY","37.559321","-85.707267"
"WILLIAMSPORT","TN","35.722628","-87.212698"
"MAUMEE","OH","41.571251","-83.685036"
"BERNE","NY","42.602236","-74.154615"
"MONCLOVA","OH","41.577251","-83.772378"
"MEADOWBROOK","WV","39.346214","-80.313875"
"RUTH","NV","39.342631","-114.885945"
"STERLING","VA","39.000074","-77.405878"
"SAVOY","IL","40.068677","-88.253105"
"LAPORTE","PA","41.432901","-76.516887"
"CARNEY","MI","45.601899","-87.519075"
"DORENA","OR","43.736115","-122.894601"
"RICHWOOD","NJ","39.720622","-75.168141"
"WOODBURY","VT","44.259518","-72.585018"
"LANDIS","NC","35.545428","-80.608038"
"ATLANTA","LA","31.775958","-92.795773"
"BIRD CITY","KS","39.750443","-101.532798"
"VENEDOCIA","OH","40.771925","-84.47458"
"CAMPBELLTON","FL","30.935644","-85.346802"
"MOUND CITY","IL","37.178242","-89.179333"
"GRAND FORKS","ND","47.909156","-97.055612"
"PAGE","ND","47.000029","-97.515646"
"WALDORF","MN","43.907326","-93.682513"
"LANDISVILLE","NJ","39.533843","-74.934493"
"SUSAN","VA","37.350792","-76.316136"
"ROBERTS","IL","40.57087","-88.234682"
"TORTILLA FLAT","AZ","33.276539","-112.18717"
"PAGE","NE","42.492295","-98.778556"
"WEST ELIZABETH","PA","40.271597","-79.89661"
"STERLING","IL","41.835669","-89.745941"
"PORTER","OK","35.86881","-95.522072"
"WACISSA","FL","30.342161","-83.840177"
"MC CARLEY","MS","33.489564","-89.834467"
"OAKDALE","NE","42.176397","-98.066911"
"DELAND","FL","29.013871","-81.28803"
"LAPORTE","CO","40.589014","-105.262822"
"ELKINS PARK","PA","40.07501","-75.131518"
"LADD","IL","41.37951","-89.203827"
"WARSAW","NC","35.01803","-78.031022"
"BAY PORT","MI","43.815182","-83.341775"
"TOOMSUBA","MS","32.424306","-88.660633"
"AURORA","KS","39.45212","-97.529562"
"IROQUOIS","IL","40.826919","-87.584668"
"CHESTNUT MOUNTAIN","GA","34.212993","-83.794858"
"NORTH HARTLAND","VT","43.591324","-72.34903"
"KINGSBURY","IN","41.526023","-86.699703"
"AURELIA","IA","42.719513","-95.534693"
"MORVEN","NC","34.921646","-80.135131"
"WEST VAN LEAR","KY","37.797057","-82.791012"
"ENLOE","TX","33.356865","-95.584162"
"MIFFLINBURG","PA","40.947833","-77.011087"
"TOMAH","WI","43.983826","-90.473336"
"WINNEBAGO","MN","43.673848","-93.948241"
"SHOOK","MO","37.119566","-90.444953"
"SARDIS","TN","35.467143","-88.298898"
"EMMONAK","AK","62.117231","-163.237636"
"CANTON","NC","35.492743","-82.959555"
"STONE","KY","37.580715","-82.27437"
"MARYSVALE","UT","38.434909","-112.206757"
"SNOOK","TX","30.513118","-96.618047"
"ALLIGATOR","MS","34.074216","-90.75974"
"OFFERMAN","GA","31.412649","-82.115541"
